date,open,high,low,close,volume
2026-07-24,7000.78,7000.78,6650.41,6690.62,397655
2026-07-27,6806.27,6806.27,6557.39,6755.75,275718
2026-07-28,6400.27,6413.57,5992.91,6023.66,331261
2026-07-29,6089.11,6228.52,5262.77,5663.24,457385
2026-07-30,5681.77,5976.82,5547.41,5593.56,378859
2026-07-31,5657.79,6630.77,5629.76,6595.45,434445
